Id,Area,Bedrooms,Bathrooms,Stories,Mainroad,Guestroom,Basement,Hotwaterheating,Airconditioning,Parking,Prefarea,Furnishingstatus,Price
26,3234.0,5.0,4.0,2,Yes,Yes,Yes,No,Yes,1.0,Yes,furnished,4881765.58091474
27,3505.0,4.0,2.0,3,No,No,Yes,Yes,No,1.0,Yes,furnished,5280260.43341543
28,2399.0,2.0,4.0,1,No,Yes,Yes,Yes,Yes,1.0,Yes,unfurnished,3687253.4097685604
29,1767.0,3.0,3.0,3,Yes,No,No,No,Yes,0.0,No,semi-furnished,2676947.195241325
30,,,,1,No,No,No,Yes,No,,No,furnished,3090230.422326662
31,3702.0,1.0,4.0,2,No,Yes,No,No,Yes,3.0,Yes,furnished,5579186.985036242
32,4056.0,2.0,3.0,2,No,Yes,Yes,Yes,No,2.0,Yes,furnished,6122674.479037553
33,4390.0,1.0,1.0,1,No,No,Yes,No,Yes,2.0,Yes,furnished,6597510.038637875
34,1146.0,1.0,3.0,3,Yes,Yes,Yes,Yes,Yes,3.0,No,furnished,1763303.7458588637
35,3388.0,3.0,3.0,2,Yes,No,Yes,No,No,1.0,No,furnished,5145779.816887058
36,2935.0,4.0,4.0,2,Yes,Yes,No,Yes,No,1.0,No,unfurnished,4464858.491351485
37,1100.0,2.0,1.0,3,No,Yes,No,No,Yes,1.0,No,unfurnished,1656910.5391279396
38,2863.0,1.0,2.0,3,No,Yes,Yes,Yes,Yes,0.0,Yes,furnished,4303124.223181024
39,2561.0,2.0,3.0,1,Yes,Yes,Yes,No,No,1.0,No,unfurnished,3844981.606063914
40,741.0,4.0,1.0,3,Yes,Yes,No,Yes,No,0.0,Yes,semi-furnished,1149811.4139648094
41,2541.0,4.0,3.0,3,Yes,No,No,No,No,3.0,No,semi-furnished,3831171.4959911215
42,3324.0,5.0,3.0,3,No,Yes,No,Yes,Yes,1.0,No,furnished,5055376.943994248
43,3112.0,4.0,3.0,1,Yes,Yes,No,No,No,1.0,No,semi-furnished,4728919.964573157
44,1863.0,3.0,3.0,1,No,Yes,Yes,No,No,2.0,No,semi-furnished,2859605.0392330387
45,1978.0,1.0,4.0,2,No,No,No,No,Yes,3.0,Yes,unfurnished,2972598.284135043
46,3056.0,5.0,1.0,1,Yes,No,No,No,No,1.0,Yes,unfurnished,4615956.093978309
47,1275.0,3.0,1.0,2,Yes,No,No,Yes,No,0.0,Yes,unfurnished,1977994.0273704585
48,4514.0,2.0,1.0,3,No,No,No,Yes,No,3.0,Yes,unfurnished,6768625.390740964
49,534.0,1.0,3.0,2,Yes,No,Yes,Yes,No,2.0,Yes,semi-furnished,867024.3243803801
50,3652.0,4.0,4.0,2,Yes,Yes,Yes,No,Yes,3.0,Yes,furnished,5519522.0576695865
51,2455.0,1.0,3.0,3,No,Yes,Yes,No,No,0.0,Yes,unfurnished,3689161.8340783953
52,2085.0,2.0,3.0,2,No,Yes,Yes,No,No,2.0,No,semi-furnished,3179356.1969142747
53,4443.0,5.0,1.0,1,No,No,Yes,No,No,0.0,Yes,unfurnished,6730487.830573955
54,3573.0,5.0,3.0,1,No,No,Yes,No,No,3.0,No,semi-furnished,5457330.73629189
55,1521.0,5.0,2.0,1,No,Yes,No,Yes,No,2.0,Yes,unfurnished,2303673.9169553956
56,3961.0,4.0,3.0,1,Yes,No,No,Yes,No,0.0,No,furnished,6007172.708556102
57,,,,2,No,No,No,Yes,Yes,,Yes,unfurnished,4708580.52891393
58,4343.0,3.0,3.0,2,No,No,No,No,Yes,0.0,No,furnished,6537965.438911321
59,2000.0,1.0,4.0,3,No,Yes,Yes,No,Yes,1.0,Yes,unfurnished,3067629.4578600214
60,661.0,4.0,4.0,2,Yes,Yes,No,No,No,3.0,Yes,unfurnished,1056206.9959776618
61,4797.0,5.0,1.0,2,No,No,Yes,No,No,2.0,Yes,unfurnished,7249243.0178525485
62,2481.0,5.0,3.0,2,No,No,No,No,No,2.0,Yes,semi-furnished,3795580.124511877
63,1495.0,2.0,2.0,3,No,No,No,No,Yes,1.0,No,semi-furnished,2237932.9146577446
64,3842.0,2.0,2.0,1,Yes,No,No,No,No,0.0,Yes,furnished,5768027.87949158
65,4298.0,5.0,3.0,2,No,Yes,Yes,Yes,Yes,0.0,Yes,furnished,6505347.576862581
66,,,,3,No,No,No,Yes,No,,No,semi-furnished,2728828.033615886
67,1516.0,4.0,4.0,3,No,Yes,Yes,No,No,0.0,Yes,furnished,2359492.687400898
68,837.0,3.0,2.0,3,Yes,Yes,Yes,No,Yes,3.0,No,furnished,1277801.575416019
69,1378.0,2.0,1.0,1,Yes,Yes,No,No,Yes,3.0,No,semi-furnished,2069734.173606706
70,,,,2,Yes,No,Yes,Yes,Yes,,Yes,semi-furnished,2424028.52733507
71,,,,3,Yes,Yes,Yes,Yes,Yes,,Yes,semi-furnished,6796782.0397926895
72,879.0,5.0,4.0,1,No,Yes,No,No,Yes,2.0,No,semi-furnished,1350074.5120388677
73,992.0,3.0,3.0,3,No,No,No,Yes,Yes,0.0,Yes,unfurnished,1514632.4905323433
74,2562.0,5.0,3.0,3,Yes,No,No,Yes,No,0.0,No,semi-furnished,3904364.6402650382
75,4384.0,5.0,4.0,3,Yes,No,No,Yes,Yes,0.0,Yes,furnished,6642915.929805771
76,564.0,1.0,3.0,3,No,Yes,No,No,No,1.0,Yes,unfurnished,872797.1654566646
77,3068.0,3.0,2.0,3,No,No,No,Yes,No,2.0,No,unfurnished,4615993.608799066
78,2527.0,3.0,3.0,1,Yes,Yes,Yes,Yes,No,3.0,Yes,furnished,3832879.70508962
79,3195.0,5.0,3.0,2,Yes,Yes,No,No,No,0.0,Yes,unfurnished,4876441.567539558
80,1995.0,4.0,4.0,2,Yes,No,No,No,No,1.0,Yes,furnished,2994747.313985657
81,891.0,1.0,1.0,2,Yes,Yes,Yes,Yes,Yes,3.0,No,unfurnished,1345852.2001672152
82,4974.0,5.0,1.0,2,No,Yes,No,No,Yes,3.0,Yes,unfurnished,7482760.585245704
83,4061.0,2.0,1.0,1,Yes,Yes,Yes,Yes,Yes,3.0,No,furnished,6115855.366224773
84,2778.0,2.0,2.0,1,Yes,Yes,No,Yes,No,0.0,Yes,furnished,4166904.3021578914
85,3599.0,1.0,3.0,1,No,No,No,No,Yes,3.0,No,furnished,5426181.490698061
86,700.0,4.0,1.0,3,No,Yes,Yes,No,No,2.0,Yes,furnished,1127532.7276746691
87,3604.0,5.0,4.0,3,No,No,No,Yes,No,1.0,Yes,semi-furnished,5456410.817555912
88,2954.0,3.0,1.0,3,No,Yes,Yes,No,No,3.0,No,semi-furnished,4449311.181310112
89,4145.0,1.0,1.0,2,No,Yes,No,No,No,3.0,Yes,furnished,6223102.973011344
90,1304.0,4.0,3.0,3,Yes,No,No,Yes,Yes,2.0,No,semi-furnished,2017373.6430645892
91,3231.0,3.0,3.0,2,Yes,Yes,Yes,Yes,Yes,3.0,Yes,furnished,4871119.074577478
92,3273.0,2.0,3.0,3,Yes,Yes,No,Yes,Yes,0.0,No,furnished,4936895.776890895
93,2070.0,2.0,2.0,2,No,Yes,No,Yes,Yes,0.0,Yes,unfurnished,3121610.195092797
94,3190.0,3.0,2.0,3,Yes,Yes,Yes,Yes,Yes,0.0,No,furnished,4815669.450105273
95,4340.0,1.0,1.0,3,No,Yes,No,Yes,No,3.0,Yes,furnished,6531608.226447255
96,1528.0,2.0,3.0,1,Yes,Yes,Yes,No,Yes,1.0,No,furnished,2338021.2765913643
97,1002.0,5.0,1.0,3,Yes,No,No,No,No,1.0,No,furnished,1528463.9870636805
98,4993.0,3.0,4.0,3,No,No,Yes,Yes,No,3.0,Yes,unfurnished,7546030.161953259
99,1370.0,3.0,4.0,1,No,No,No,No,No,1.0,No,furnished,2167915.2317344905
100,,,,2,Yes,Yes,Yes,No,Yes,,No,unfurnished,7547884.501853574
101,706.0,1.0,3.0,1,Yes,Yes,Yes,Yes,No,3.0,Yes,furnished,1071162.8476186031
102,1984.0,5.0,4.0,1,Yes,Yes,No,No,No,0.0,Yes,unfurnished,3048638.0705746105
103,1363.0,1.0,3.0,2,Yes,No,No,No,Yes,3.0,Yes,semi-furnished,2068828.4346855264
104,3290.0,4.0,2.0,3,Yes,Yes,Yes,Yes,No,0.0,Yes,unfurnished,4994189.094379374
105,1063.0,4.0,2.0,2,No,No,No,No,No,0.0,Yes,unfurnished,1636055.708301688
106,4691.0,2.0,3.0,3,No,Yes,Yes,No,No,1.0,Yes,furnished,7066117.003285211
107,2257.0,2.0,4.0,3,No,Yes,No,Yes,Yes,1.0,No,unfurnished,3410883.52098039
108,2178.0,2.0,1.0,2,No,Yes,No,No,No,0.0,No,unfurnished,3313908.771570328
109,3742.0,4.0,3.0,1,Yes,No,Yes,No,No,0.0,No,furnished,5674219.424278255
110,1559.0,1.0,3.0,2,Yes,Yes,Yes,No,Yes,1.0,Yes,semi-furnished,2369871.120969312
111,2222.0,1.0,1.0,3,No,No,No,Yes,Yes,2.0,Yes,semi-furnished,3372367.582915697
112,,,,2,Yes,Yes,No,Yes,No,,No,semi-furnished,5780663.463897301
113,3657.0,5.0,1.0,2,No,Yes,No,No,Yes,0.0,No,unfurnished,5561389.960654038
114,3125.0,1.0,4.0,3,Yes,No,No,No,Yes,0.0,Yes,furnished,4741563.281642241
115,3229.0,4.0,2.0,1,Yes,Yes,No,Yes,Yes,1.0,No,semi-furnished,4924753.361794955
116,2097.0,3.0,4.0,2,Yes,Yes,Yes,Yes,Yes,3.0,Yes,semi-furnished,3176167.6171887587
117,3560.0,3.0,2.0,3,No,Yes,No,No,Yes,0.0,Yes,semi-furnished,5374026.438739101
118,3193.0,3.0,1.0,3,No,Yes,No,Yes,Yes,0.0,No,semi-furnished,4838678.966655801
119,4127.0,5.0,2.0,2,No,No,Yes,No,Yes,0.0,Yes,furnished,6232789.408467092
120,1863.0,2.0,4.0,1,No,No,Yes,No,No,3.0,Yes,semi-furnished,2827234.9119097954
121,2481.0,4.0,2.0,2,Yes,Yes,Yes,Yes,Yes,3.0,Yes,unfurnished,3775388.3444228894
122,2163.0,5.0,1.0,1,Yes,Yes,No,Yes,Yes,0.0,Yes,unfurnished,3294897.289305809
123,2029.0,4.0,2.0,1,Yes,No,Yes,No,Yes,0.0,No,furnished,3094820.374986864
124,2538.0,4.0,3.0,1,Yes,Yes,Yes,No,No,2.0,Yes,semi-furnished,3839092.165562302
125,,,,1,No,No,Yes,Yes,Yes,,Yes,semi-furnished,5742244.905846323
126,2737.0,3.0,3.0,2,Yes,Yes,Yes,No,Yes,2.0,No,unfurnished,4153180.481323617
127,1806.0,2.0,1.0,3,Yes,No,No,Yes,No,0.0,Yes,furnished,2766300.087351094
128,4529.0,5.0,2.0,3,Yes,No,No,Yes,Yes,0.0,Yes,unfurnished,6848127.41118235
129,,,,3,No,No,No,Yes,No,,No,furnished,4814494.72458489
130,1782.0,5.0,3.0,3,No,No,Yes,Yes,No,0.0,No,furnished,2752258.881189029
131,1209.0,2.0,2.0,3,No,Yes,Yes,Yes,Yes,1.0,Yes,furnished,1780005.0212373305
132,4913.0,4.0,2.0,3,Yes,Yes,Yes,No,No,1.0,Yes,unfurnished,7413153.030891107
133,4248.0,4.0,4.0,2,No,No,Yes,Yes,Yes,1.0,No,furnished,6421725.730765749
134,1163.0,1.0,3.0,1,Yes,No,Yes,Yes,Yes,2.0,Yes,unfurnished,1774718.4331361342
135,2498.0,5.0,3.0,3,Yes,No,Yes,Yes,No,3.0,Yes,unfurnished,3836924.5250868127
136,3945.0,4.0,1.0,2,Yes,No,No,Yes,No,0.0,Yes,semi-furnished,5993525.623978027
137,4243.0,1.0,4.0,3,No,Yes,No,Yes,Yes,3.0,No,unfurnished,6399438.9537250465
138,1995.0,4.0,1.0,3,No,No,Yes,Yes,Yes,1.0,Yes,unfurnished,3006466.3257711185
139,3804.0,5.0,3.0,1,Yes,No,No,Yes,No,0.0,No,semi-furnished,5760716.267873176
140,4263.0,3.0,1.0,1,Yes,No,Yes,No,Yes,0.0,No,semi-furnished,6421408.99750115
141,2353.0,5.0,3.0,1,No,No,Yes,No,Yes,2.0,No,semi-furnished,3601844.308516043
142,1791.0,2.0,3.0,3,No,No,No,No,Yes,3.0,No,furnished,2722624.9308032086
143,4081.0,4.0,1.0,3,No,No,Yes,No,No,2.0,Yes,furnished,6152734.037443274
144,3957.0,4.0,1.0,3,Yes,No,No,Yes,Yes,1.0,No,semi-furnished,5955467.031161671
145,2136.0,2.0,2.0,1,Yes,Yes,Yes,No,Yes,3.0,Yes,furnished,3216628.462007138
146,4196.0,2.0,2.0,2,Yes,No,Yes,Yes,Yes,1.0,No,semi-furnished,6305893.06232869
147,3499.0,3.0,2.0,3,No,No,No,No,No,2.0,No,furnished,5320931.539870721
148,3652.0,4.0,3.0,3,No,No,Yes,No,No,2.0,Yes,unfurnished,5517606.827873867
149,1198.0,4.0,1.0,3,No,Yes,Yes,Yes,No,0.0,No,furnished,1843202.721114325
150,2660.0,3.0,4.0,2,Yes,Yes,Yes,Yes,Yes,3.0,No,furnished,4059368.828166952
151,4597.0,1.0,3.0,3,Yes,Yes,No,No,No,3.0,Yes,unfurnished,6924397.965728653
152,1354.0,3.0,4.0,2,No,No,Yes,No,Yes,0.0,No,semi-furnished,2059279.9471810954
153,3974.0,5.0,1.0,3,Yes,No,Yes,No,No,3.0,No,furnished,6035701.700555986
154,2207.0,4.0,3.0,2,No,No,Yes,No,Yes,1.0,No,furnished,3372583.7423940673
155,3277.0,2.0,4.0,3,Yes,Yes,No,Yes,No,1.0,Yes,unfurnished,4911790.2452829145
156,2233.0,5.0,4.0,1,No,No,No,No,Yes,2.0,No,unfurnished,3444414.4287198856
157,4010.0,4.0,2.0,1,Yes,Yes,No,No,Yes,1.0,Yes,unfurnished,6082467.594062067
158,702.0,3.0,2.0,1,Yes,Yes,No,No,No,3.0,Yes,unfurnished,1099770.009728605
159,3755.0,5.0,2.0,1,No,Yes,No,No,Yes,0.0,Yes,semi-furnished,5725195.269713911
160,4718.0,4.0,3.0,3,No,Yes,Yes,No,No,2.0,No,furnished,7149009.354070251
161,4996.0,1.0,1.0,1,No,Yes,No,Yes,No,0.0,No,furnished,7531558.836175458
162,1266.0,1.0,1.0,2,No,No,No,Yes,Yes,2.0,No,furnished,1934728.0318143705
163,4889.0,2.0,2.0,1,No,No,Yes,Yes,Yes,2.0,No,furnished,7378640.87981488
164,2827.0,4.0,2.0,1,Yes,Yes,No,Yes,No,0.0,Yes,semi-furnished,4254682.343077257
165,3431.0,1.0,2.0,1,No,No,Yes,Yes,No,1.0,Yes,furnished,5133070.654841328
166,697.0,3.0,4.0,3,No,No,No,No,No,1.0,No,semi-furnished,1112516.8096568573
167,2430.0,4.0,2.0,1,No,Yes,Yes,Yes,Yes,1.0,No,semi-furnished,3719633.0147815025
168,4082.0,3.0,4.0,2,Yes,Yes,Yes,Yes,No,1.0,Yes,unfurnished,6158896.532048631
169,1108.0,3.0,1.0,1,No,No,No,No,Yes,0.0,No,unfurnished,1674724.7431246797
170,3772.0,1.0,3.0,1,No,No,No,Yes,Yes,3.0,No,furnished,5688253.00273587
171,1647.0,4.0,3.0,1,No,No,Yes,Yes,No,2.0,No,semi-furnished,2496458.9048615475
172,4782.0,5.0,3.0,2,Yes,No,Yes,Yes,No,0.0,No,unfurnished,7234622.043117523
173,3897.0,1.0,3.0,1,Yes,Yes,Yes,Yes,Yes,1.0,No,semi-furnished,5863397.8705296945
174,3011.0,1.0,4.0,2,No,No,Yes,No,Yes,1.0,No,unfurnished,4542010.865939968
175,2294.0,4.0,4.0,2,Yes,Yes,Yes,No,Yes,0.0,Yes,semi-furnished,3538688.620358106
176,1159.0,4.0,2.0,1,No,Yes,Yes,Yes,Yes,2.0,Yes,furnished,1775820.1708307853
177,3311.0,3.0,4.0,2,Yes,No,Yes,No,No,0.0,Yes,furnished,5017568.173878903
178,1869.0,4.0,2.0,3,No,No,No,Yes,Yes,0.0,Yes,semi-furnished,2827256.875964615
179,2486.0,3.0,2.0,1,Yes,No,Yes,No,No,3.0,No,unfurnished,3787807.4807383157
180,646.0,1.0,3.0,1,No,Yes,No,No,No,0.0,No,unfurnished,990408.2895178617
181,3719.0,2.0,4.0,2,No,Yes,No,No,No,3.0,Yes,furnished,5642066.164905556
182,3411.0,5.0,4.0,2,Yes,Yes,Yes,No,Yes,2.0,Yes,furnished,5137357.857735152
183,2234.0,1.0,2.0,1,No,Yes,Yes,No,Yes,0.0,Yes,furnished,3369837.3803739655
184,2343.0,4.0,2.0,3,No,No,No,No,No,0.0,Yes,unfurnished,3567142.5507131317
185,988.0,5.0,1.0,2,No,Yes,Yes,No,No,1.0,Yes,unfurnished,1555230.4655581098
186,3476.0,2.0,1.0,2,No,Yes,Yes,No,No,0.0,No,furnished,5226160.024295374
187,2459.0,2.0,2.0,3,Yes,No,No,No,No,1.0,No,semi-furnished,3734236.496287823
188,2885.0,3.0,1.0,3,No,Yes,No,No,Yes,1.0,Yes,unfurnished,4351951.289709428
189,3419.0,5.0,1.0,1,Yes,Yes,No,No,No,1.0,Yes,furnished,5185375.143578084
190,2302.0,3.0,2.0,3,Yes,No,Yes,Yes,Yes,2.0,No,semi-furnished,3511439.0311450996
191,4561.0,1.0,2.0,1,Yes,Yes,Yes,No,Yes,3.0,No,unfurnished,6842904.609613469
192,3869.0,5.0,4.0,3,Yes,Yes,No,Yes,Yes,1.0,No,semi-furnished,5888311.693414618
193,762.0,1.0,2.0,2,No,Yes,Yes,No,Yes,0.0,Yes,semi-furnished,1169698.0514397204
194,1123.0,3.0,2.0,1,No,Yes,No,Yes,No,0.0,No,unfurnished,1717826.5173805212
195,1516.0,5.0,3.0,1,Yes,No,Yes,Yes,Yes,1.0,Yes,furnished,2325635.8680926138
196,4143.0,3.0,4.0,1,No,Yes,No,Yes,No,1.0,Yes,semi-furnished,6222483.422643984
197,2549.0,5.0,4.0,3,Yes,No,Yes,No,Yes,0.0,No,furnished,3891894.680872821
198,4223.0,3.0,4.0,2,No,Yes,No,No,No,1.0,No,unfurnished,6377859.966553315
199,3608.0,2.0,3.0,1,No,No,Yes,No,No,3.0,No,semi-furnished,5459782.635173712
200,4590.0,3.0,2.0,1,No,No,Yes,No,No,3.0,Yes,semi-furnished,6935759.95932098
201,2556.0,2.0,4.0,1,Yes,No,No,Yes,No,2.0,No,semi-furnished,3895402.346087228
202,3670.0,3.0,4.0,1,Yes,Yes,Yes,No,No,1.0,No,semi-furnished,5577134.585680388
203,2182.0,5.0,1.0,2,No,Yes,Yes,No,Yes,2.0,Yes,semi-furnished,3391110.7575477124
204,2755.0,5.0,4.0,3,Yes,Yes,No,No,No,2.0,No,unfurnished,4212773.199377416
205,1654.0,5.0,2.0,2,Yes,No,Yes,No,Yes,2.0,No,semi-furnished,2523790.5882118293
206,4999.0,4.0,2.0,1,No,Yes,Yes,No,No,1.0,Yes,unfurnished,7565023.859783806
207,3691.0,1.0,1.0,2,Yes,Yes,Yes,No,Yes,2.0,Yes,furnished,5583618.081130765
208,2196.0,5.0,4.0,1,No,Yes,No,No,Yes,3.0,Yes,unfurnished,3373497.946487648
209,4491.0,2.0,4.0,3,No,Yes,No,No,Yes,2.0,Yes,semi-furnished,6734014.178895821
210,2148.0,5.0,4.0,3,No,No,No,Yes,No,3.0,Yes,furnished,3303107.2040800587
211,,,,3,Yes,No,No,Yes,Yes,,No,unfurnished,2959902.5630545695
212,4699.0,2.0,4.0,1,No,Yes,No,No,No,1.0,No,unfurnished,7062061.48239841
213,,,,2,No,Yes,Yes,No,No,,Yes,unfurnished,6688233.735466082
214,753.0,2.0,2.0,3,Yes,Yes,Yes,No,Yes,1.0,No,semi-furnished,1128983.7003476843
215,3683.0,3.0,3.0,1,Yes,No,No,No,Yes,3.0,No,semi-furnished,5589962.942085913
216,3057.0,1.0,3.0,1,Yes,Yes,Yes,Yes,No,0.0,Yes,unfurnished,4625117.58334865
217,598.0,1.0,4.0,2,Yes,No,Yes,Yes,No,2.0,Yes,unfurnished,925266.6211950177
218,2700.0,4.0,1.0,3,No,No,Yes,No,No,1.0,Yes,furnished,4083998.435355848
219,3461.0,1.0,3.0,1,Yes,Yes,Yes,Yes,No,0.0,No,semi-furnished,5212818.014245525
220,4933.0,4.0,3.0,2,Yes,Yes,No,Yes,No,2.0,Yes,semi-furnished,7434281.695047957
221,4277.0,4.0,4.0,3,Yes,Yes,No,No,No,2.0,No,furnished,6473959.1141583845
222,3369.0,4.0,4.0,2,Yes,No,Yes,No,Yes,1.0,No,unfurnished,5056610.818450129
223,3734.0,1.0,3.0,2,No,No,Yes,No,No,0.0,No,unfurnished,5627774.199268538
224,4291.0,4.0,1.0,1,Yes,Yes,No,Yes,No,1.0,No,furnished,6483784.398831778
225,1456.0,1.0,3.0,1,No,No,Yes,Yes,Yes,2.0,Yes,unfurnished,2225902.993361815
226,4567.0,4.0,4.0,1,Yes,Yes,Yes,No,Yes,2.0,No,unfurnished,6916496.231519869
227,660.0,5.0,4.0,2,No,Yes,Yes,No,Yes,3.0,Yes,furnished,1079546.69523743
228,4993.0,4.0,3.0,1,No,No,No,Yes,No,2.0,No,furnished,7555440.622181048
229,1800.0,2.0,1.0,2,Yes,No,No,Yes,Yes,2.0,Yes,furnished,2745730.4854081227
230,4487.0,4.0,3.0,2,No,No,Yes,No,Yes,0.0,Yes,unfurnished,6837928.501279851
231,2027.0,3.0,3.0,1,Yes,No,Yes,Yes,No,0.0,Yes,furnished,3093900.342838967
232,1718.0,4.0,4.0,3,No,Yes,Yes,No,No,3.0,No,unfurnished,2640680.4828953473
233,4996.0,2.0,1.0,3,No,Yes,Yes,No,No,3.0,No,semi-furnished,7542740.978425363
234,3604.0,2.0,2.0,3,No,Yes,Yes,Yes,No,3.0,No,semi-furnished,5426635.369944593
235,3235.0,1.0,1.0,2,Yes,No,Yes,Yes,Yes,1.0,Yes,furnished,4865116.2446806915
236,1454.0,5.0,3.0,2,No,Yes,No,Yes,No,1.0,No,unfurnished,2254419.8923655716
237,3946.0,4.0,3.0,2,Yes,No,No,No,Yes,3.0,No,unfurnished,5975448.30075457
238,1545.0,1.0,3.0,1,No,No,Yes,No,No,1.0,No,unfurnished,2343858.2688160175
239,2193.0,5.0,1.0,2,No,No,No,No,Yes,2.0,Yes,furnished,3362495.584066526
240,3936.0,4.0,4.0,1,No,Yes,Yes,No,No,3.0,No,unfurnished,5930078.903209609
241,1062.0,3.0,3.0,1,No,No,Yes,No,No,3.0,No,unfurnished,1678669.1815694447
242,2985.0,4.0,3.0,3,No,No,No,No,No,1.0,Yes,unfurnished,4542218.000359692
243,3854.0,2.0,1.0,3,No,No,No,Yes,Yes,0.0,Yes,semi-furnished,5797994.773403714
244,725.0,2.0,2.0,3,Yes,No,Yes,No,Yes,3.0,Yes,unfurnished,1150061.0581669759
245,1459.0,3.0,2.0,1,Yes,No,Yes,No,Yes,1.0,Yes,semi-furnished,2230570.6810140745
246,3567.0,1.0,4.0,1,Yes,No,No,No,No,1.0,Yes,unfurnished,5383097.970751925
247,1315.0,5.0,4.0,1,No,No,No,No,Yes,0.0,Yes,unfurnished,2038205.9343462675
248,,,,2,Yes,No,Yes,Yes,No,,No,unfurnished,5514353.873277351
249,516.0,2.0,1.0,1,No,No,Yes,No,No,0.0,No,semi-furnished,798812.9804166422
250,1743.0,1.0,3.0,3,Yes,No,Yes,Yes,No,2.0,Yes,unfurnished,2628331.680682784
251,2705.0,3.0,4.0,3,Yes,No,No,Yes,Yes,0.0,No,furnished,4127475.459377197
252,,,,1,No,No,Yes,No,No,,Yes,unfurnished,4584659.107515107
253,1569.0,3.0,1.0,1,No,Yes,No,No,Yes,1.0,No,semi-furnished,2420632.166273443
254,3944.0,4.0,4.0,3,Yes,Yes,Yes,Yes,No,0.0,Yes,semi-furnished,5988671.980840993
255,,,,1,Yes,No,No,Yes,No,,Yes,furnished,4680425.329904863
256,1560.0,2.0,2.0,3,Yes,No,No,No,No,1.0,No,furnished,2364814.936148034
257,2827.0,2.0,1.0,2,Yes,No,No,Yes,Yes,2.0,No,furnished,4286015.988398966
258,3920.0,4.0,3.0,3,No,Yes,No,No,Yes,0.0,No,semi-furnished,5949850.452118677
259,801.0,1.0,2.0,2,Yes,Yes,Yes,No,No,2.0,No,unfurnished,1232109.2053788533
260,4776.0,5.0,3.0,1,No,Yes,No,Yes,Yes,2.0,No,unfurnished,7197857.5047846595
261,1106.0,2.0,2.0,1,No,No,No,No,Yes,0.0,No,furnished,1681236.5205291186
262,3670.0,5.0,2.0,2,Yes,No,No,No,No,0.0,No,furnished,5564085.699866403
263,1199.0,2.0,3.0,1,No,No,Yes,No,No,1.0,No,unfurnished,1844131.9205447047
264,1639.0,5.0,4.0,2,Yes,No,Yes,Yes,Yes,1.0,Yes,furnished,2576514.7421744894
265,690.0,3.0,2.0,1,No,Yes,Yes,Yes,No,3.0,No,unfurnished,1092184.8783270419
266,2800.0,2.0,2.0,3,No,No,Yes,Yes,No,1.0,No,unfurnished,4213799.732784573
